,t,c0,div1,div2
0,550.0,0.3,0.003270433052184718,0.002289077441093912
0,100.0,0.1,1.41494354738433,1.4193646151311627
0,290.0,0.1,0.0009607315192362437,0.00047852591514384313
0,430.0,0.25,0.013956769690945864,0.03596611124717916
0,300.0,0.6,0.0481299558099858,0.5494271008628809
0,210.0,0.6,1.1577175495019438,1.1899167152649224
0,470.0,0.4,0.008968320201882762,0.013483367857142659
0,350.0,0.2,0.05107458167997436,0.4042846940182335
0,100.0,0.8,0.1913779435843409,1.5219978427495588
0,490.0,0.35,0.0075055013275018845,0.009048632514499388
0,450.0,0.2,0.003213302154777553,0.0022901623394998294
0,390.0,0.2,0.010034712176575672,0.01776392319922429
0,460.0,0.3,0.012212613753412538,0.0263342893507158
0,240.0,0.6,0.9812945224342289,1.0117744754191123
0,210.0,0.25,1.089968426652908,1.1639084610363508
0,260.0,0.25,0.9491865563343113,1.0569097654507356
0,440.0,0.2,0.0036466552199610203,0.0027479918141949944
0,290.0,0.8,0.0008800558394949087,0.00042148466927838246
0,510.0,0.3,0.005064509426506825,0.0043303383776079896
0,180.0,0.8,0.001785420394222026,0.0010735227391243107
0,400.0,0.5,0.01479153098585112,0.042470623847672584
0,240.0,0.8,0.0010864848046575615,0.0005667810970448883
0,410.0,0.4,0.05500608051973843,0.4305358539369644
0,260.0,0.1,0.0011635514022474008,0.0006221849544629371
0,490.0,0.4,0.006479745674056403,0.006849249490787579
0,440.0,0.55,0.003503921278842692,0.0026037676257051334
0,380.0,0.25,0.10483306492570083,0.5500791144996366
0,210.0,0.1,0.002114762102346332,0.001333262920709316
0,280.0,0.7,0.0033918530914386347,0.002670637844914392
0,370.0,0.2,0.02034487173950636,0.08028009774328662
0,450.0,0.45,0.008771811022553977,0.013125779835320373
0,570.0,0.4,0.0028145367931196597,0.0018784939354923869
0,400.0,0.25,0.040933615963834435,0.2684499028170285
0,400.0,0.4,0.0850539471707547,0.6036354506990798
0,220.0,0.6,1.0669242577892704,1.1959295452426117
0,460.0,0.4,0.011139834152462558,0.02169986686783243
0,440.0,0.4,0.018742474100081286,0.06731068995883921
0,300.0,0.5,0.8470005470275939,0.9191940401180302
0,260.0,0.8,0.0009873817928821582,0.0004956066183560148
0,270.0,0.1,0.0010857921697142031,0.0005643200304170232
0,360.0,0.55,0.017888114355907425,0.0639261128735572
0,170.0,0.8,0.0020691119419945503,0.001316038398085917
0,430.0,0.5,0.007218292512743307,0.0089472758502529
0,150.0,0.8,0.003213969658903859,0.00267944952090049
0,200.0,0.6,1.1570464106269351,1.2400873189727672
0,360.0,0.6,0.005713669136240829,0.00616397485807163
0,230.0,0.25,1.0680781440742302,1.0994010184317984
0,500.0,0.35,0.006450029773025834,0.006700965469978115
0,450.0,0.3,0.01581630341564827,0.04692419154766192
0,500.0,0.45,0.004204294691491639,0.0033016453851862915
0,360.0,0.25,0.2787588355693178,0.6608652020922892
0,450.0,0.4,0.01413150672821728,0.03741964493444516
0,250.0,0.6,0.8932635117304863,0.9884230344776085
0,150.0,0.1,0.34526702610941684,1.204406749198114
0,560.0,0.4,0.0030239637203688385,0.002062661327505988
0,280.0,0.25,0.8930272205855518,1.0127357037142355
0,400.0,0.2,0.007530649752266971,0.009763133047377331
0,390.0,0.5,0.020544730976507664,0.08254955451926421
0,340.0,0.25,0.5386078187205507,0.7259053662716436
0,340.0,0.5,0.19960162421319133,0.8139320157406423
