"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-143.727272727273,23.706067513326,-6.06288970730716,0.000301579248629735
"I(c0^3)",3958.04195804196,363.643834720927,10.8843917595344,4.49328303072564e-06
"I(c0^2)",-7864.33566433568,495.94406909127,-15.8573035841434,2.50267195285909e-07
"c0",4129.61538461539,200.851504934526,20.5605399170973,3.27813116785561e-08
