"","t","sp_c","bi_c"
"1",233.885175879397,0.01,0.0997148574287143
"3",238.407788944724,0.0104902451225613,0.101185592796398
"5",242.93040201005,0.0109804902451226,0.102166083041521
"7",247.453015075377,0.0114707353676838,0.103146573286643
"9",251.975628140704,0.0119609804902451,0.104617308654327
"11",256.49824120603,0.0129414707353677,0.10559779889945
"13",261.020854271357,0.013431715857929,0.107068534267134
"15",265.543467336683,0.0139219609804902,0.108049024512256
"17",270.06608040201,0.0149024512256128,0.10951975987994
"19",274.588693467337,0.0153926963481741,0.110500250125063
"21",279.111306532663,0.0163731865932966,0.111970985492746
"23",283.63391959799,0.0168634317158579,0.11344172086043
"25",288.156532663317,0.0178439219609805,0.114422211105553
"27",292.679145728643,0.018824412206103,0.115892946473237
"29",297.20175879397,0.0193146573286643,0.116873436718359
"31",301.724371859296,0.0202951475737869,0.118344172086043
"33",306.246984924623,0.0212756378189095,0.119814907453727
"35",310.76959798995,0.022256128064032,0.120795397698849
"37",315.292211055276,0.0232366183091546,0.122266133066533
"39",319.814824120603,0.0242171085542771,0.123736868434217
"41",324.33743718593,0.0251975987993997,0.125207603801901
"43",328.860050251256,0.0261780890445223,0.126188094047023
"45",333.382663316583,0.0271585792896448,0.127658829414707
"47",337.90527638191,0.0281390695347674,0.129129564782391
"49",342.427889447236,0.0296098049024512,0.130600300150075
"51",346.950502512563,0.0305902951475738,0.132071035517759
"53",351.473115577889,0.0315707853926963,0.133541770885443
"55",355.995728643216,0.0330415207603802,0.135012506253127
"57",360.518341708543,0.0340220110055027,0.13648324162081
"59",365.040954773869,0.0354927463731866,0.137953976988494
"61",369.563567839196,0.0369634817408704,0.139424712356178
"63",374.086180904523,0.0384342171085543,0.140895447723862
"65",378.608793969849,0.0394147073536768,0.142366183091546
"67",383.131407035176,0.0408854427213607,0.14383691845923
"69",387.654020100503,0.0423561780890445,0.145307653826913
"71",392.176633165829,0.0443171585792896,0.147268634317159
"73",396.699246231156,0.0457878939469735,0.148739369684842
"75",401.221859296482,0.0472586293146573,0.150210105052526
"77",405.744472361809,0.0487293646823412,0.152171085542771
"79",410.267085427136,0.0506903451725863,0.153641820910455
"81",414.789698492462,0.0521610805402701,0.155112556278139
"83",419.312311557789,0.0541220610305153,0.157073536768384
"85",423.834924623116,0.0560830415207604,0.158544272136068
"87",428.357537688442,0.0580440220110055,0.160505252626313
"89",432.880150753769,0.0600050025012506,0.162466233116558
"91",437.402763819095,0.0619659829914957,0.163936968484242
"93",441.925376884422,0.0639269634817409,0.165897948974487
"95",446.447989949749,0.065887943971986,0.167858929464732
"97",450.970603015075,0.0678489244622311,0.169329664832416
"99",455.493216080402,0.0703001500750375,0.171290645322661
"101",460.015829145729,0.0727513756878439,0.173251625812906
"103",464.538442211055,0.074712356178089,0.175212606303152
"105",469.061055276382,0.0771635817908954,0.177173586793397
"107",473.583668341709,0.0796148074037018,0.179134567283642
"109",478.106281407035,0.0820660330165082,0.181585792896448
"111",482.628894472362,0.0850075037518759,0.183546773386693
"113",487.151507537688,0.0874587293646823,0.185507753876938
"115",491.674120603015,0.09040020010005,0.187958979489745
"117",496.196733668342,0.0933416708354177,0.18991995997999
"119",500.719346733668,0.0962831415707854,0.192371185592796
"121",505.241959798995,0.0992246123061531,0.194332166083042
"123",509.764572864322,0.102166083041521,0.196783391695848
"125",514.287185929648,0.10559779889945,0.199234617308654
"127",518.809798994975,0.109029514757379,0.201685842921461
"129",523.332412060302,0.112461230615308,0.204137068534267
"131",527.855025125628,0.115892946473237,0.206588294147074
"133",532.377638190955,0.119324662331166,0.209529764882441
"135",536.900251256281,0.123246623311656,0.211980990495248
"137",541.422864321608,0.127168584292146,0.214922461230615
"139",545.945477386935,0.131090545272636,0.217373686843422
"141",550.468090452261,0.135502751375688,0.220315157578789
"143",554.990703517588,0.139914957478739,0.223746873436718
"145",559.513316582915,0.144327163581791,0.226688344172086
"147",564.035929648241,0.149229614807404,0.229629814907454
"149",568.558542713568,0.154132066033017,0.233061530765383
"151",573.081155778894,0.159524762381191,0.236493246623312
"153",577.603768844221,0.164917458729365,0.239924962481241
"155",582.126381909548,0.1708004002001,0.243846923461731
"157",586.648994974874,0.176683341670835,0.247768884442221
"159",591.171608040201,0.183056528264132,0.251690845422711
"161",595.694221105528,0.18991995997999,0.256103051525763
"163",600.216834170854,0.197273636818409,0.261005502751376
"165",604.739447236181,0.20511755877939,0.265417708854427
"167",609.262060301508,0.213941970985493,0.270810405202601
"169",613.784673366834,0.222766383191596,0.276693346673337
"171",618.307286432161,0.233061530765383,0.282576288144072
"173",622.829899497487,0.244827413706853,0.289929964982491
"183",626.85,0.256593296648324,0.296793396698349
"175",627.352512562814,0.258064032016008,0.297773886943472
"185",627.860101010101,0.260025012506253,0.298754377188594
"187",628.870202020202,0.263456728364182,0.300715357678839
"189",629.880303030303,0.266888444222111,0.302676338169085
"191",630.890404040404,0.27032016008004,0.305127563781891
"177",631.875125628141,0.27424212106053,0.307578789394697
"193",631.900505050505,0.274732366183092,0.307578789394697
"195",632.910606060606,0.278654327163582,0.310030015007504
"197",633.920707070707,0.283066533266633,0.31248124062031
"199",634.930808080808,0.287968984492246,0.315422711355678
"201",635.940909090909,0.29336168084042,0.318854427213607
"179",636.397738693467,0.295812906453227,0.320325162581291
"203",636.95101010101,0.299244622311156,0.322286143071536
"205",638.971212121212,0.314442221110555,0.330620310155078
"207",639.981313131313,0.324737368684342,0.336993496748374
"181",640.920351758794,0.341895947973987,0.3467983991996
"209",640.991414141414,0.344347173586793,0.348269134567284
"210",640.991414141414,0.361505752876438,0.358074037018509
"182",640.920351758794,0.364447223611806,0.359544772386193
"208",639.981313131313,0.382096048024012,0.36983991995998
"206",638.971212121212,0.393371685842921,0.376703351675838
"204",636.95101010101,0.410040020010005,0.386018009004502
"180",636.397738693467,0.413961980990495,0.388469234617309
"202",635.940909090909,0.416903451725863,0.389939969984992
"200",634.930808080808,0.42327663831916,0.393861930965483
"198",633.920707070707,0.429159579789895,0.39680340170085
"196",632.910606060606,0.434552276138069,0.400235117558779
"178",631.875125628141,0.439454727363682,0.403176588294147
"194",631.900505050505,0.439454727363682,0.403176588294147
"192",630.890404040404,0.444357178589295,0.405627813906953
"190",629.880303030303,0.448769384692346,0.408569284642321
"188",628.870202020202,0.453181590795398,0.411020510255128
"186",627.860101010101,0.457593796898449,0.413471735867934
"176",627.352512562814,0.459554777388694,0.414942471235618
"184",626.85,0.462006003001501,0.41592296148074
"174",622.829899497487,0.4772036018009,0.424747373686843
"172",618.307286432161,0.4924012006003,0.433571785892946
"170",613.784673366834,0.506618309154577,0.441905952976488
"168",609.262060301508,0.519854927463732,0.449749874937469
"166",604.739447236181,0.532111055527764,0.456613306653327
"164",600.216834170854,0.543876938469235,0.463966983491746
"162",595.694221105528,0.555152576288144,0.470340170085043
"160",591.171608040201,0.565937968984492,0.476713356678339
"158",586.648994974874,0.576233116558279,0.482596298149075
"156",582.126381909548,0.586038019009505,0.48847923961981
"154",577.603768844221,0.59584292146073,0.494362181090545
"152",573.081155778894,0.605157578789395,0.500245122561281
"150",568.558542713568,0.613981990995498,0.505637818909455
"148",564.035929648241,0.622806403201601,0.511030515257629
"146",559.513316582915,0.631140570285143,0.515932966483242
"144",554.990703517588,0.639474737368684,0.521325662831416
"142",550.468090452261,0.647808904452226,0.526228114057029
"140",545.945477386935,0.655652826413207,0.531130565282641
"138",541.422864321608,0.663496748374187,0.536033016508254
"136",536.900251256281,0.671340670335168,0.540935467733867
"134",532.377638190955,0.678694347173587,0.545347673836918
"132",527.855025125628,0.686048024012006,0.550250125062531
"130",523.332412060302,0.692911455727864,0.554662331165583
"128",518.809798994975,0.700265132566283,0.559074537268634
"126",514.287185929648,0.707128564282141,0.563486743371686
"124",509.764572864322,0.713991995997999,0.567898949474737
"122",505.241959798995,0.720365182591296,0.572311155577789
"120",500.719346733668,0.726738369184592,0.57672336168084
"118",496.196733668342,0.733111555777889,0.581135567783892
"116",491.674120603015,0.739484742371186,0.585057528764382
